IP_1,Porta_1,IP_2,Porta_2,Protocollo,Pacchetti_Totali,Byte_Totali,Nome_Dominio_Associato,SNI_TLS,Host_HTTP,Organizzazione_WHOIS_IP_1,Organizzazione_WHOIS_IP_2
192.168.20.102,49848,74.125.99.135,443,UDP,4555,5317201,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
104.18.32.42,443,192.168.20.102,47816,TCP,17,4504,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
192.168.20.102,44716,216.58.204.234,443,TCP,7,603,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.102,44102,216.239.38.223,443,TCP,7,603,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.102,44070,216.239.38.223,443,TCP,4,337,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.102,44722,216.58.204.234,443,TCP,7,603,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.102,42230,8.8.4.4,853,TCP,309,83414,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.102,40380,74.125.99.169,443,UDP,41,28260,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
173.194.10.8,443,192.168.20.102,48500,UDP,38,24324,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
173.194.10.10,443,192.168.20.102,37659,UDP,592,607854,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
173.194.10.7,443,192.168.20.102,49824,UDP,4509,5208417,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
173.194.10.10,443,192.168.20.102,48128,TCP,333,317202,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
173.194.10.7,443,192.168.20.102,45196,TCP,21,7905,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.102,38750,216.58.204.138,443,TCP,37,9289,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.102,48687,216.58.204.238,443,UDP,98,72872,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.102,43186,216.239.32.36,443,UDP,36,19935,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.102,49176,216.58.204.238,443,UDP,44,33949,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.102,43655,216.239.32.36,443,UDP,36,19852,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.102,40705,216.58.204.234,443,UDP,80,68531,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.102,38816,216.239.34.223,443,TCP,27,10156,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.102,47426,74.125.99.38,443,UDP,57,41855,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.102,46509,74.125.99.41,443,UDP,60,40775,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.102,44364,74.125.13.136,443,UDP,353,355419,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
173.194.182.138,443,192.168.20.102,41375,UDP,39,21241,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.102,39456,74.125.13.136,443,TCP,19,7709,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
173.194.10.6,443,192.168.20.102,39566,UDP,10249,12011366,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.102,44720,216.58.204.234,443,TCP,7,603,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
173.194.182.168,443,192.168.20.102,48348,UDP,12376,14341209,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.102,42705,74.125.111.106,443,UDP,594,625814,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.102,49231,74.125.99.170,443,UDP,314,291740,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
173.194.182.168,443,192.168.20.102,41273,UDP,34,9957,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
142.251.143.99,443,192.168.20.102,41971,UDP,40,25694,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
142.251.143.170,443,192.168.20.102,37814,TCP,11,874,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.102,47542,216.58.209.46,443,TCP,5,403,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
142.251.143.202,443,192.168.20.102,39060,TCP,9,730,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
142.251.143.202,443,192.168.20.102,39158,TCP,6,525,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
173.194.182.137,443,192.168.20.102,43541,UDP,550,584991,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.102,47962,74.125.99.71,443,UDP,37,20376,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.102,39392,74.125.99.71,443,TCP,21,8356,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.102,39024,216.239.34.223,443,TCP,27,9380,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.102,37505,74.125.111.102,443,UDP,55,41177,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.102,38137,74.125.99.170,443,UDP,14658,17056296,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
173.194.10.8,443,192.168.20.102,48296,UDP,56,42333,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.102,47771,74.125.99.40,443,UDP,2594,2953293,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.102,37836,74.125.99.40,443,TCP,19,7805,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
173.194.10.6,443,192.168.20.102,42385,UDP,823,885178,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.102,44897,74.125.99.136,443,UDP,36,23893,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.102,39780,74.125.99.170,443,UDP,6,7752,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.102,40888,35.211.225.161,443,TCP,22,3661,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE-CLOUD
192.168.20.102,49588,35.190.28.87,443,TCP,40,14688,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE-CLOUD
