IP_1,Porta_1,IP_2,Porta_2,Protocollo,Pacchetti_Totali,Byte_Totali,Nome_Dominio_Associato,SNI_TLS,Host_HTTP,Organizzazione_WHOIS_IP_1,Organizzazione_WHOIS_IP_2
157.240.231.1,443,192.168.20.101,49753,UDP,54,26959,N/A | N/A,N/A | N/A,N/A | N/A,THEFA-3,IP Privato/Riservato
142.250.181.78,443,192.168.20.101,46329,UDP,27,28365,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.101,47161,216.58.204.226,443,UDP,41,28645,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,49657,192.178.202.97,443,UDP,42,19311,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,47728,8.8.8.8,443,TCP,32,11759,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,42746,216.239.34.157,443,TCP,106,69068,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
142.250.180.174,443,192.168.20.101,41598,UDP,41,25372,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.101,46456,216.58.209.46,443,UDP,38,28082,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,47732,8.8.8.8,443,TCP,32,11662,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,42750,216.239.34.157,443,TCP,34,11391,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,47497,216.58.204.129,443,UDP,37,20481,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,46373,216.58.204.129,443,UDP,33,18923,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,39556,192.178.202.138,443,UDP,42,28930,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,46375,192.178.202.94,443,UDP,233,213170,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
142.250.180.170,443,192.168.20.101,46594,UDP,42,29974,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.101,45360,3.166.81.32,443,TCP,143,111223,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
192.168.20.101,46730,8.8.4.4,853,TCP,27,8617,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
104.17.24.14,443,192.168.20.101,49084,UDP,21,13689,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
108.139.210.29,443,192.168.20.101,39354,TCP,370,310689,N/A | N/A,N/A | N/A,N/A | N/A,AMAZO-4,IP Privato/Riservato
151.101.194.137,443,192.168.20.101,46400,TCP,23,8309,N/A | N/A,N/A | N/A,N/A | N/A,SKYCA-3,IP Privato/Riservato
151.101.193.91,443,192.168.20.101,48356,UDP,29,18773,N/A | N/A,N/A | N/A,N/A | N/A,SKYCA-3,IP Privato/Riservato
142.250.181.78,443,192.168.20.101,46690,UDP,28,21730,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
