IP_1,Porta_1,IP_2,Porta_2,Protocollo,Pacchetti_Totali,Byte_Totali,Nome_Dominio_Associato,SNI_TLS,Host_HTTP,Organizzazione_WHOIS_IP_1,Organizzazione_WHOIS_IP_2
192.168.20.101,37846,35.244.159.8,443,TCP,27,10777,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE-CLOUD
185.89.210.90,443,192.168.20.101,45124,TCP,34,13369,N/A | N/A,N/A | N/A,N/A | N/A,EUADNEXUS-FR-IB-2,IP Privato/Riservato
142.251.140.98,443,192.168.20.101,43390,UDP,31,26465,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
142.251.140.98,443,192.168.20.101,38882,TCP,32,8343,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.101,44418,198.47.127.20,443,TCP,35,12674,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GTT-ARIN-BLK7
18.198.188.210,443,192.168.20.101,42614,TCP,32,7454,N/A | N/A,N/A | N/A,N/A | N/A,AT-88-Z,IP Privato/Riservato
188.40.16.220,443,192.168.20.101,43218,TCP,27,8329,N/A | N/A,N/A | N/A,N/A | N/A,HOS-2011199,IP Privato/Riservato
142.250.180.130,443,192.168.20.101,38805,UDP,33,22454,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
142.250.180.130,443,192.168.20.101,38838,TCP,35,12500,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.101,42684,51.89.9.251,443,TCP,32,8168,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,OVH-DEDICATED-FO
192.168.20.101,40022,67.202.105.24,443,TCP,32,11925,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,STEADFAST-3
192.168.20.101,39223,192.178.203.94,443,UDP,30,19356,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,44926,8.8.4.4,853,TCP,26,5640,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
104.17.25.14,443,192.168.20.101,41450,UDP,21,13677,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
192.168.20.101,46806,8.8.8.8,443,UDP,83,36620,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
151.101.66.137,443,192.168.20.101,37678,TCP,21,5264,N/A | N/A,N/A | N/A,N/A | N/A,SKYCA-3,IP Privato/Riservato
192.168.20.101,42897,8.8.8.8,443,UDP,44,29854,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,42924,192.178.203.94,443,UDP,52,38710,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,38923,192.178.203.94,443,UDP,108,89764,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,47950,95.100.171.209,443,TCP,41,12088,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,AKAMAI-PA
