IP_1,Porta_1,IP_2,Porta_2,Protocollo,Pacchetti_Totali,Byte_Totali,Nome_Dominio_Associato,SNI_TLS,Host_HTTP,Organizzazione_WHOIS_IP_1,Organizzazione_WHOIS_IP_2
172.64.155.214,443,192.168.20.101,53434,TCP,400,174274,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
192.168.20.101,41210,3.166.81.61,443,TCP,23,7606,N/A | api.revenuecat.com.,N/A | N/A,N/A | N/A,IP Privato/Riservato,AT-88-Z
172.64.155.209,443,192.168.20.101,47784,TCP,33,13591,N/A | N/A,N/A | N/A,N/A | N/A,CLOUDFLARENET,IP Privato/Riservato
192.168.20.101,51240,8.8.8.8,53,UDP,2,375,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,52816,216.58.205.42,443,TCP,24,11152,N/A | locationhistory-pa.googleapis.com.,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,59306,8.8.8.8,53,UDP,2,313,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,37686,8.8.8.8,53,UDP,2,313,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
173.194.182.137,443,192.168.20.101,58616,UDP,40,24604,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.101,38024,8.8.8.8,53,UDP,2,313,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,47258,74.125.99.70,443,TCP,125,115385,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,55502,74.125.99.70,443,UDP,25,15466,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
173.194.182.137,443,192.168.20.101,59404,TCP,27,8333,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.101,36991,74.125.99.41,443,UDP,488,491938,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,40238,74.125.99.41,443,TCP,26,8203,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,41927,8.8.8.8,53,UDP,2,313,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
173.194.182.138,443,192.168.20.101,40641,UDP,43,26095,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.101,48533,216.239.38.223,443,UDP,48,34106,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
173.194.182.138,443,192.168.20.101,47990,TCP,26,8246,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.101,33390,216.239.38.223,443,TCP,34,14410,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
192.168.20.101,37627,8.8.8.8,443,UDP,3,3726,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,10220,8.8.8.8,53,UDP,2,272,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,43580,8.8.8.8,53,UDP,2,389,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
142.251.209.42,443,192.168.20.101,59810,TCP,24,9307,firebaseinstallations.googleapis.com. | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.101,54812,8.8.8.8,53,UDP,2,385,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
142.250.180.170,443,192.168.20.101,46856,TCP,36,10247,playstoregatewayadapter-pa.googleapis.com. | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.101,13286,8.8.8.8,53,UDP,2,276,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,53607,216.58.204.238,443,UDP,40,19599,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGLE
142.250.180.170,443,192.168.20.101,46870,TCP,33,10028,playstoregatewayadapter-pa.googleapis.com. | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
142.250.180.170,443,192.168.20.101,46878,TCP,34,10116,playstoregatewayadapter-pa.googleapis.com. | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.101,52463,8.8.8.8,53,UDP,2,275,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,60014,34.128.128.0,443,TCP,24,8514,N/A | prodregistryv2.org.,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGL-2
192.168.20.101,18313,8.8.8.8,53,UDP,2,275,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,60020,34.128.128.0,443,TCP,24,8514,N/A | prodregistryv2.org.,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOOGL-2
192.168.20.101,57540,8.8.8.8,53,UDP,2,327,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
172.232.209.103,123,192.168.20.101,50825,UDP,2,180,1.datadog.pool.ntp.org. | N/A,N/A | N/A,N/A | N/A,AKAMAI,IP Privato/Riservato
192.168.20.101,53706,8.8.8.8,443,UDP,3,3726,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,34831,8.8.8.8,53,UDP,2,419,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,38318,8.8.8.8,443,UDP,3,3726,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,21211,8.8.8.8,53,UDP,2,276,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,51956,8.8.8.8,443,UDP,3,3726,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,59563,8.8.8.8,443,UDP,3,3726,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
192.168.20.101,48856,8.8.4.4,853,TCP,37,4506,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
142.250.180.138,443,192.168.20.101,53114,TCP,40,16167,N/A | N/A,N/A | N/A,N/A | N/A,GOOGLE,IP Privato/Riservato
192.168.20.101,28845,8.8.8.8,53,UDP,2,462,N/A | N/A,N/A | N/A,N/A | N/A,IP Privato/Riservato,GOGL
